person_id_random,date,transaction_type,direction,amount
3620626456,5/29/14,add_credit_to_mobile_wallet,in,2030
3620626456,6/4/14,transfer_from_savings,in,20
8041467929,10/14/14,send_money,out,400
8041467929,10/14/14,send_money,out,170
8041467929,10/4/14,send_money,out,1200
8041467929,9/22/14,send_money,out,117
8041467929,9/19/14,send_money,out,217
8041467929,8/31/14,send_money,out,530
8041467929,8/31/14,add_credit_to_mobile_wallet,in,550
8041467929,8/29/14,send_money,out,523
8041467929,8/29/14,add_credit_to_mobile_wallet,in,550
8041467929,8/25/14,send_money,out,3050
8041467929,8/25/14,add_credit_to_mobile_wallet,in,4000
8041467929,8/12/14,send_money,out,500
8041467929,8/10/14,transfer_from_savings,in,750
8041467929,8/10/14,transfer_to_savings,out,750
8041467929,8/6/14,transfer_from_savings,in,1800
8041467929,8/6/14,transfer_to_savings,out,1800
8041467929,8/5/14,transfer_from_savings,in,1000
8041467929,8/5/14,transfer_to_savings,out,1000
8041467929,7/31/14,add_credit_to_mobile_wallet,in,50
8041467929,7/31/14,add_credit_to_mobile_wallet,in,1000
8041467929,10/30/14,add_credit_to_mobile_wallet,in,150
8041467929,11/3/14,send_money,out,200
8041467929,11/4/14,send_money,out,200
8041467929,11/6/14,send_money,out,500
8041467929,11/14/14,send_money,out,750
8041467929,11/28/14,add_credit_to_mobile_wallet,in,8000
8041467929,11/28/14,send_money,out,1550
8041467929,11/28/14,send_money,out,5500
8041467929,11/28/14,send_money,out,250
8041467929,11/28/14,send_money,out,530
1309607936,3/28/15,send_money,out,2000
1309607936,3/29/15,send_money,out,110
1309607936,4/4/15,send_money,out,130
1309607936,4/8/15,add_credit_to_mobile_wallet,in,330
1309607936,4/17/15,send_money,out,1950
1309607936,10/18/15,send_money,out,35
1309607936,10/18/15,send_money,out,100
1309607936,10/2/15,add_credit_to_mobile_wallet,in,2250
7289370646,5/8/15,add_credit_to_mobile_wallet,in,2100
7289370646,5/20/15,send_money,out,427
7289370646,5/8/15,send_money,out,2027
7289370646,5/14/15,send_money,out,1027
7289370646,5/12/15,add_credit_to_mobile_wallet,in,800
7289370646,5/22/15,add_credit_to_mobile_wallet,in,1200
7289370646,5/7/15,add_credit_to_mobile_wallet,in,1400
7289370646,4/25/15,send_money,out,7050
7289370646,5/7/15,send_money,out,1527
7289370646,5/14/15,add_credit_to_mobile_wallet,in,1600
7289370646,5/14/15,add_credit_to_mobile_wallet,in,1950
7289370646,4/15/15,send_money,out,10000
7289370646,4/18/15,send_money,out,3500
7289370646,5/23/15,add_credit_to_mobile_wallet,in,1500
7289370646,5/22/15,send_money,out,1127
3778121349,4/20/15,send_money,out,427
3778121349,3/28/15,send_money,out,227
3778121349,2/9/15,add_credit_to_mobile_wallet,in,300
3778121349,1/29/15,send_money,out,250
3778121349,1/27/15,send_money,out,530
3778121349,4/16/15,send_money,out,3027
3778121349,5/5/15,send_money,out,2600
3778121349,3/27/15,send_money,out,400
3778121349,2/17/15,send_money,out,327
3778121349,2/28/15,send_money,out,1000
3778121349,3/11/15,add_credit_to_mobile_wallet,in,300
3778121349,4/12/15,send_money,out,327
3778121349,2/18/15,send_money,out,180
3778121349,2/9/15,send_money,out,280
3778121349,2/6/15,send_money,out,280
3778121349,5/24/15,send_money,out,3500
3778121349,2/10/15,send_money,out,377
3778121349,1/30/15,send_money,out,230
3778121349,4/21/15,send_money,out,377
3778121349,3/11/15,send_money,out,327
3778121349,2/7/15,send_money,out,527
3778121349,3/3/15,send_money,out,180
3778121349,3/30/15,send_money,out,1027
3778121349,1/28/15,add_credit_to_mobile_wallet,in,1000
3778121349,5/21/15,send_money,out,727
3778121349,3/5/15,send_money,out,180
3778121349,2/11/15,send_money,out,227
3778121349,1/27/15,send_money,out,1027
3778121349,2/14/15,send_money,out,327
3778121349,5/25/15,send_money,out,130
6425890823,5/4/15,add_credit_to_mobile_wallet,in,400
6425890823,5/3/15,add_credit_to_mobile_wallet,in,1000
6425890823,1/1/10,send_money,out,500
6425890823,5/12/15,add_credit_to_mobile_wallet,in,1550
6425890823,5/12/15,add_credit_to_mobile_wallet,in,100
1121771521,5/26/15,send_money,out,527
1121771521,5/26/15,transfer_from_savings,in,50
1121771521,6/9/15,add_credit_to_mobile_wallet,in,700
1121771521,5/25/15,transfer_from_savings,in,1200
1121771521,6/15/15,transfer_to_savings,out,31000
1121771521,6/17/15,add_credit_to_mobile_wallet,in,4000
1121771521,5/27/15,transfer_from_savings,in,2050
1121771521,6/19/15,send_money,out,6100
1121771521,5/17/15,transfer_to_savings,out,220
1121771521,6/15/15,add_credit_to_mobile_wallet,in,31000
1121771521,6/15/15,add_credit_to_mobile_wallet,in,9000
1121771521,6/16/15,transfer_from_savings,in,2030
1121771521,6/18/15,send_money,out,530
1121771521,6/15/15,add_credit_to_mobile_wallet,in,15000
1121771521,5/25/15,transfer_to_savings,out,5150
1121771521,6/16/15,transfer_from_savings,in,10200
1121771521,6/17/15,transfer_from_savings,in,30
1121771521,6/19/15,transfer_from_savings,in,500
1121771521,6/16/15,send_money,out,1030
1121771521,6/15/15,send_money,out,777
1121771521,6/9/15,add_credit_to_mobile_wallet,in,500
1121771521,5/26/15,transfer_from_savings,in,550
1121771521,5/27/15,transfer_from_savings,in,40
1121771521,6/17/15,send_money,out,2030
1121771521,6/17/15,add_credit_to_mobile_wallet,in,5000
1121771521,6/1/15,add_credit_to_mobile_wallet,in,50
1121771521,5/26/15,transfer_from_savings,in,50
1121771521,6/17/15,transfer_from_savings,in,7100
1121771521,5/25/15,transfer_from_savings,in,1000
1121771521,6/20/15,send_money,out,1030
2003490834,4/15/15,send_money,out,900
2003490834,5/29/15,send_money,out,517
2003490834,4/20/15,send_money,out,200
2003490834,5/27/15,add_credit_to_mobile_wallet,in,500
2003490834,5/6/15,add_credit_to_mobile_wallet,in,1000
2003490834,4/11/15,send_money,out,400
2003490834,6/15/15,add_credit_to_mobile_wallet,in,500
2003490834,5/16/15,send_money,out,300
2003490834,6/6/15,send_money,out,4050
2003490834,4/24/15,send_money,out,527
2003490834,6/18/15,send_money,out,3027
2003490834,4/17/15,send_money,out,1000
2003490834,4/25/15,send_money,out,300
2003490834,5/18/15,transfer_to_savings,out,1600
2003490834,6/10/15,send_money,out,6500
2003490834,5/31/15,send_money,out,177
2003490834,6/16/15,send_money,out,6000
2003490834,4/28/15,send_money,out,227
2003490834,4/17/15,send_money,out,1500
2003490834,5/7/15,send_money,out,4200
2003490834,5/14/15,add_credit_to_mobile_wallet,in,2100
2003490834,6/7/15,send_money,out,250
2003490834,4/24/15,send_money,out,1027
2003490834,6/18/15,send_money,out,400
2003490834,6/1/15,send_money,out,150
2003490834,4/29/15,send_money,out,227
2003490834,5/5/15,send_money,out,227
2003490834,6/6/15,send_money,out,150
2003490834,5/19/15,send_money,out,427
2003490834,4/16/15,add_credit_to_mobile_wallet,in,1000
6171176971,7/25/15,send_money,out,530
6171176971,7/11/15,send_money,out,300
6171176971,7/14/15,transfer_from_savings,in,250
6171176971,7/14/15,send_money,out,300
6171176971,6/26/15,send_money,out,200
6171176971,6/24/15,send_money,out,200
6171176971,7/8/15,send_money,out,300
6171176971,7/14/15,send_money,out,100
6171176971,8/24/15,add_credit_to_mobile_wallet,in,250
6171176971,8/16/15,add_credit_to_mobile_wallet,in,450
6171176971,8/18/15,add_credit_to_mobile_wallet,in,500
6171176971,8/19/15,add_credit_to_mobile_wallet,in,800
6171176971,8/16/15,send_money,out,427
6171176971,8/15/15,transfer_from_savings,in,
6171176971,9/1/15,transfer_to_savings,out,2100
6171176971,9/1/15,transfer_from_savings,in,2000
6171176971,9/1/15,transfer_from_savings,in,50
6171176971,10/3/15,send_money,out,150
6171176971,10/22/15,add_credit_to_mobile_wallet,in,300
6171176971,10/22/15,add_credit_to_mobile_wallet,in,200
6972053524,7/26/15,send_money,out,350
6972053524,7/26/15,transfer_from_savings,in,412
6972053524,8/2/15,transfer_to_savings,out,3
6972053524,8/20/15,transfer_to_savings,out,90
6972053524,8/21/15,transfer_from_savings,in,90
6972053524,8/21/15,send_money,out,100
6972053524,8/21/15,send_money,out,4000
6972053524,8/26/15,add_credit_to_mobile_wallet,in,600
6972053524,8/26/15,send_money,out,530
