person_id_random,ipaddress,local_access_time,continent_name,country_name,city_name
5523890760,41.222.177.103,2016-01-19 11:00:00,Africa,Tanzania,Dar es Salaam
5523890760,41.222.181.174,2016-05-09 15:00:00,Africa,Tanzania,
5523890760,41.222.179.141,2016-05-10 00:00:00,Africa,Tanzania,
5523890760,41.222.180.103,2016-05-23 13:00:00,Africa,Tanzania,
4447877474,41.222.179.141,2015-12-21 15:00:00,Africa,Tanzania,
7349042414,197.250.62.29,2016-02-01 21:00:00,Africa,Tanzania,Dar es Salaam
7349042414,197.250.62.29,2016-02-01 23:00:00,Africa,Tanzania,Dar es Salaam
8394030931,41.222.181.182,2016-01-04 13:00:00,Africa,Tanzania,Dar es Salaam
8394030931,41.222.179.143,2016-01-04 21:00:00,Africa,Tanzania,
8394030931,41.222.179.143,2016-01-04 22:00:00,Africa,Tanzania,
8394030931,197.250.195.235,2016-01-31 11:00:00,Africa,Tanzania,
8394030931,41.222.177.116,2016-02-02 13:00:00,Africa,Tanzania,
8394030931,41.222.177.120,2016-02-07 20:00:00,Africa,Tanzania,
8394030931,41.222.177.108,2016-02-10 10:00:00,Africa,Tanzania,Dar es Salaam
8394030931,41.222.181.181,2016-02-14 11:00:00,Africa,Tanzania,Dar es Salaam
8394030931,41.222.179.163,2016-02-20 10:00:00,Africa,Tanzania,
8394030931,41.222.180.186,2016-03-03 10:00:00,Africa,Tanzania,
8394030931,197.250.193.178,2016-03-16 10:00:00,Africa,Tanzania,
8394030931,197.250.193.152,2016-03-30 01:00:00,Africa,Tanzania,
8394030931,169.255.184.228,2016-06-15 08:00:00,Africa,Tanzania,
1272813046,156.157.89.193,2016-01-02 15:00:00,Africa,Tanzania,
1272813046,156.157.195.108,2016-01-18 12:00:00,Africa,Tanzania,
1272813046,197.152.144.124,2016-02-10 20:00:00,Africa,Tanzania,
1272813046,41.222.181.176,2016-05-23 19:00:00,Africa,Tanzania,Dar es Salaam
4476235367,41.222.180.171,2015-12-17 13:00:00,Africa,Tanzania,
4476235367,41.222.180.171,2015-12-17 17:00:00,Africa,Tanzania,
8466486442,41.222.180.177,2016-06-22 08:00:00,Africa,Tanzania,
3577835738,41.222.179.145,2016-07-06 06:00:00,Africa,Tanzania,
3577835738,41.222.179.145,2016-07-06 10:00:00,Africa,Tanzania,
9656418246,197.250.195.122,2016-02-29 14:00:00,Africa,Tanzania,
9656418246,197.250.195.28,2016-02-29 19:00:00,Africa,Tanzania,
9656418246,197.250.193.211,2016-02-29 22:00:00,Africa,Tanzania,
7850063072,169.255.185.94,2016-06-26 08:00:00,Africa,Tanzania,
7850063072,196.249.98.16,2016-07-07 07:00:00,Africa,Tanzania,
1757809206,197.250.195.92,2015-12-23 21:00:00,Africa,Tanzania,
1757809206,197.250.192.45,2016-01-16 08:00:00,Africa,Tanzania,
7272279612,197.250.62.6,2015-12-31 12:00:00,Africa,Tanzania,Dar es Salaam
7272279612,197.250.192.193,2016-07-02 20:00:00,Africa,Tanzania,
7624836270,197.250.193.172,2016-02-15 18:00:00,Africa,Tanzania,
3744930975,41.222.180.115,2016-01-14 22:00:00,Africa,Tanzania,
